10
4 5 6 11 12 19 22 23 27 29 30 34 38 46 48 53 56 61 71 74 75 84 87 95 99
4 6 11 16 21 24 28 35 37 47 50 52 54 59 64 69 72 74 75 76 78 84 85 92 99
1 3 5 9 15 16 17 18 22 23 27 30 35 39 42 47 55 61 63 65 70 72 73 76 84 89 91 92 99
1 25 29 32 34 35 39 42 47 52 55 56 57 58 61 62 70 75 76 81 83 84 88 92 96 97 99
16 17 18 20 22 25 27 35 37 42 47 50 52 53 62 65 66 76 77 82 84 89 91 93
0 1 3 6 11 23 24 35 38 39 40 42 43 50 52 53 55 65 69 71 74 76 78 86 88 90 91 93 96 98 99
2 4 8 9 10 14 19 20 22 25 28 35 39 40 42 51 55 57 59 63 64 70 74 75 81 82 84 85 88 94 99
3 6 10 14 18 22 27 32 33 36 41 43 47 51 55 61 65 71 78 81 86 88 95 99
1 5 16 23 26 30 32 37 40 41 46 47 49 50 51 55 60 67 69 70 73 76 82 90 93 99
1 3 6 7 9 10 21 22 25 29 40 42 46 50 52 57 60 63 68 70 72 73 75 76 78 81 83 88 99
